Date;Open;High;Low;Close;Adj Close;Volume
20/06/2018;3.540.000.000;3.710.000.000;3.510.000.000;3.710.000.000;3.198.160.889;295386100
21/06/2018;3.650.000.000;3.700.000.000;3.610.000.000;3.610.000.000;3.111.957.031;123848500
22/06/2018;3.610.000.000;3.630.000.000;3.540.000.000;3.580.000.000;3.086.095.703;121490900
25/06/2018;3.630.000.000;3.690.000.000;3.600.000.000;3.660.000.000;3.155.058.838;97826600
26/06/2018;3.600.000.000;3.700.000.000;3.600.000.000;3.690.000.000;3.180.920.166;91252300
27/06/2018;3.690.000.000;3.780.000.000;3.690.000.000;3.710.000.000;3.198.160.889;106616500
28/06/2018;3.700.000.000;3.720.000.000;3.660.000.000;3.660.000.000;3.155.058.838;133779300
29/06/2018;3.650.000.000;3.750.000.000;3.640.000.000;3.750.000.000;3.232.642.334;79116600
02/07/2018;3.800.000.000;3.800.000.000;3.710.000.000;3.750.000.000;3.232.642.334;55810800
03/07/2018;3.740.000.000;3.740.000.000;3.670.000.000;3.700.000.000;3.189.540.283;79439500
04/07/2018;3.700.000.000;3.810.000.000;3.630.000.000;3.760.000.000;3.241.262.695;54884500
05/07/2018;3.800.000.000;3.830.000.000;3.760.000.000;3.830.000.000;3.301.605.225;59717900
06/07/2018;3.850.000.000;3.890.000.000;3.830.000.000;3.860.000.000;3.327.466.553;67655200
09/07/2018;3.900.000.000;4.000.000.000;3.880.000.000;3.980.000.000;3.430.911.133;68798500
10/07/2018;3.990.000.000;4.050.000.000;3.960.000.000;4.030.000.000;3.474.012.695;118127300
11/07/2018;4.000.000.000;4.080.000.000;3.960.000.000;4.060.000.000;3.499.874.023;144055300
12/07/2018;4.050.000.000;4.110.000.000;4.040.000.000;4.100.000.000;3.534.355.469;114531700
13/07/2018;4.080.000.000;4.100.000.000;3.970.000.000;4.020.000.000;3.465.392.578;120852800
16/07/2018;3.970.000.000;4.030.000.000;3.860.000.000;3.940.000.000;3.396.429.688;66229700
17/07/2018;3.970.000.000;3.970.000.000;3.890.000.000;3.940.000.000;3.396.429.688;53740400
18/07/2018;3.910.000.000;4.030.000.000;3.890.000.000;4.010.000.000;3.456.771.973;75157800
19/07/2018;4.000.000.000;4.000.000.000;3.910.000.000;3.910.000.000;3.370.568.115;65340900
20/07/2018;3.900.000.000;3.990.000.000;3.890.000.000;3.990.000.000;3.439.531.250;66456000
23/07/2018;4.030.000.000;4.090.000.000;4.010.000.000;4.060.000.000;3.499.874.023;74605900
24/07/2018;4.090.000.000;4.090.000.000;4.030.000.000;4.030.000.000;3.474.012.695;64353800
25/07/2018;4.060.000.000;4.060.000.000;3.900.000.000;3.900.000.000;3.361.947.998;55617500
26/07/2018;3.920.000.000;3.940.000.000;3.890.000.000;3.930.000.000;3.387.808.838;55761900
27/07/2018;3.910.000.000;3.950.000.000;3.890.000.000;3.940.000.000;3.396.429.688;52506800
30/07/2018;3.890.000.000;3.950.000.000;3.890.000.000;3.910.000.000;3.370.568.115;49045100
31/07/2018;3.830.000.000;3.830.000.000;3.550.000.000;3.570.000.000;3.077.475.586;339081700
01/08/2018;3.570.000.000;3.600.000.000;3.500.000.000;3.550.000.000;3.060.234.619;190720900
02/08/2018;3.550.000.000;3.590.000.000;3.450.000.000;3.500.000.000;3.017.132.813;171276100
03/08/2018;3.480.000.000;3.490.000.000;3.430.000.000;3.460.000.000;2.982.651.367;224005400
06/08/2018;3.480.000.000;3.670.000.000;3.480.000.000;3.650.000.000;3.146.438.477;231846400
07/08/2018;3.650.000.000;3.670.000.000;3.570.000.000;3.580.000.000;3.086.095.703;111024900
08/08/2018;3.600.000.000;3.600.000.000;3.520.000.000;3.550.000.000;3.060.234.619;109077400
09/08/2018;3.520.000.000;3.550.000.000;3.490.000.000;3.490.000.000;3.008.512.451;110452900
10/08/2018;3.510.000.000;3.540.000.000;3.480.000.000;3.500.000.000;3.017.132.813;79851700
13/08/2018;3.440.000.000;3.450.000.000;3.360.000.000;3.370.000.000;2.905.067.871;106124800
14/08/2018;3.360.000.000;3.440.000.000;3.330.000.000;3.350.000.000;2.887.826.904;108189200
15/08/2018;3.350.000.000;3.450.000.000;3.310.000.000;3.430.000.000;2.956.790.039;95526000
16/08/2018;3.390.000.000;3.430.000.000;3.350.000.000;3.350.000.000;2.887.826.904;112653900
17/08/2018;3.350.000.000;3.350.000.000;3.350.000.000;3.350.000.000;2.887.826.904;0
20/08/2018;3.420.000.000;3.450.000.000;3.370.000.000;3.390.000.000;2.922.308.594;163133800
21/08/2018;3.400.000.000;3.440.000.000;3.350.000.000;3.350.000.000;2.887.826.904;126746000
22/08/2018;3.350.000.000;3.350.000.000;3.350.000.000;3.350.000.000;2.887.826.904;0
23/08/2018;3.390.000.000;3.390.000.000;3.290.000.000;3.300.000.000;2.844.725.098;209401300
24/08/2018;3.290.000.000;3.340.000.000;3.270.000.000;3.290.000.000;2.836.104.980;103476200
27/08/2018;3.330.000.000;3.480.000.000;3.310.000.000;3.460.000.000;2.982.651.367;142917000
28/08/2018;3.480.000.000;3.600.000.000;3.480.000.000;3.580.000.000;3.086.095.703;224122500
29/08/2018;3.560.000.000;3.610.000.000;3.520.000.000;3.580.000.000;3.086.095.703;126710100
30/08/2018;3.580.000.000;3.590.000.000;3.510.000.000;3.510.000.000;3.025.753.174;80352300
31/08/2018;3.500.000.000;3.520.000.000;3.460.000.000;3.490.000.000;3.008.512.451;109920300
03/09/2018;3.520.000.000;3.550.000.000;3.480.000.000;3.490.000.000;3.008.512.451;46014400
04/09/2018;3.500.000.000;3.510.000.000;3.410.000.000;3.420.000.000;2.948.169.922;77620800
05/09/2018;3.400.000.000;3.400.000.000;3.250.000.000;3.270.000.000;2.818.864.258;183864900
06/09/2018;3.250.000.000;3.380.000.000;3.250.000.000;3.360.000.000;2.896.447.510;172294300
07/09/2018;3.360.000.000;3.390.000.000;3.320.000.000;3.390.000.000;2.922.308.594;99447200
10/09/2018;3.380.000.000;3.400.000.000;3.350.000.000;3.380.000.000;2.913.688.232;48741600
11/09/2018;3.380.000.000;3.380.000.000;3.380.000.000;3.380.000.000;2.913.688.232;0
12/09/2018;3.380.000.000;3.390.000.000;3.310.000.000;3.320.000.000;2.861.966.064;81217700
13/09/2018;3.370.000.000;3.470.000.000;3.370.000.000;3.450.000.000;2.974.030.762;115198100
14/09/2018;3.470.000.000;3.600.000.000;3.470.000.000;3.590.000.000;3.094.716.309;156541000
17/09/2018;3.550.000.000;3.570.000.000;3.430.000.000;3.470.000.000;2.991.271.729;95431800
18/09/2018;3.470.000.000;3.590.000.000;3.440.000.000;3.570.000.000;3.077.475.586;132571400
19/09/2018;3.580.000.000;3.610.000.000;3.540.000.000;3.550.000.000;3.060.234.619;88139600
20/09/2018;3.590.000.000;3.640.000.000;3.570.000.000;3.600.000.000;3.103.336.426;80194400
21/09/2018;3.630.000.000;3.630.000.000;3.550.000.000;3.600.000.000;3.103.336.426;98577800
24/09/2018;3.590.000.000;3.600.000.000;3.510.000.000;3.540.000.000;3.051.614.258;48101000
25/09/2018;3.540.000.000;3.560.000.000;3.520.000.000;3.560.000.000;3.068.854.980;25350200
26/09/2018;3.550.000.000;3.590.000.000;3.540.000.000;3.540.000.000;3.051.614.258;51055900
27/09/2018;3.580.000.000;3.590.000.000;3.550.000.000;3.580.000.000;3.086.095.703;49549400
28/09/2018;3.600.000.000;3.670.000.000;3.600.000.000;3.640.000.000;3.137.817.871;116695900
01/10/2018;3.610.000.000;3.690.000.000;3.610.000.000;3.670.000.000;3.163.679.443;45504900
02/10/2018;3.640.000.000;3.670.000.000;3.580.000.000;3.620.000.000;3.120.577.148;61393800
03/10/2018;3.570.000.000;3.640.000.000;3.570.000.000;3.600.000.000;3.103.336.426;46611900
04/10/2018;3.570.000.000;3.600.000.000;3.510.000.000;3.600.000.000;3.103.336.426;82550500
05/10/2018;3.540.000.000;3.600.000.000;3.530.000.000;3.530.000.000;3.042.993.896;59270300
08/10/2018;3.500.000.000;3.530.000.000;3.470.000.000;3.520.000.000;3.034.373.779;71886100
09/10/2018;3.530.000.000;3.620.000.000;3.520.000.000;3.590.000.000;3.094.716.309;58708100
10/10/2018;3.640.000.000;3.640.000.000;3.560.000.000;3.600.000.000;3.103.336.426;31937500
11/10/2018;3.500.000.000;3.640.000.000;3.480.000.000;3.570.000.000;3.077.475.586;114418300
12/10/2018;3.630.000.000;3.700.000.000;3.620.000.000;3.680.000.000;3.172.299.561;87991200
15/10/2018;3.700.000.000;3.750.000.000;3.650.000.000;3.660.000.000;3.155.058.838;68466400
16/10/2018;3.680.000.000;3.780.000.000;3.680.000.000;3.780.000.000;3.258.503.418;98103600
17/10/2018;3.800.000.000;3.910.000.000;3.800.000.000;3.900.000.000;3.361.947.998;122953700
18/10/2018;3.840.000.000;3.880.000.000;3.720.000.000;3.760.000.000;3.241.262.695;102322600
19/10/2018;3.700.000.000;3.770.000.000;3.690.000.000;3.730.000.000;3.215.401.611;140162100
22/10/2018;3.730.000.000;3.830.000.000;3.730.000.000;3.800.000.000;3.275.744.141;57680500
23/10/2018;3.800.000.000;3.800.000.000;3.670.000.000;3.700.000.000;3.189.540.283;53266800
24/10/2018;3.700.000.000;3.710.000.000;3.520.000.000;3.520.000.000;3.034.373.779;117672200
25/10/2018;3.490.000.000;3.580.000.000;3.460.000.000;3.550.000.000;3.060.234.619;120108900
26/10/2018;3.580.000.000;3.660.000.000;3.580.000.000;3.630.000.000;3.129.197.754;100554100
29/10/2018;3.630.000.000;3.660.000.000;3.580.000.000;3.660.000.000;3.155.058.838;54304000
30/10/2018;3.640.000.000;3.850.000.000;3.630.000.000;3.800.000.000;3.275.744.141;158933000
31/10/2018;3.850.000.000;3.870.000.000;3.730.000.000;3.850.000.000;3.318.845.947;140351400
01/11/2018;3.850.000.000;3.880.000.000;3.810.000.000;3.880.000.000;3.344.707.275;69586900
02/11/2018;3.900.000.000;3.940.000.000;3.880.000.000;3.940.000.000;3.396.429.688;98072700
05/11/2018;3.850.000.000;3.910.000.000;3.850.000.000;3.890.000.000;3.353.327.393;60121700
06/11/2018;3.930.000.000;3.930.000.000;3.820.000.000;3.890.000.000;3.353.327.393;58088000
07/11/2018;3.900.000.000;3.950.000.000;3.870.000.000;3.950.000.000;3.405.049.561;98350100
08/11/2018;3.970.000.000;4.000.000.000;3.920.000.000;4.000.000.000;3.448.151.855;74004300
09/11/2018;3.960.000.000;3.960.000.000;3.920.000.000;3.920.000.000;3.379.188.965;45243300
12/11/2018;3.890.000.000;3.950.000.000;3.860.000.000;3.860.000.000;3.327.466.553;57256000
13/11/2018;3.810.000.000;3.850.000.000;3.750.000.000;3.830.000.000;3.301.605.225;89819400
14/11/2018;3.860.000.000;3.880.000.000;3.750.000.000;3.750.000.000;3.232.642.334;72968500
15/11/2018;3.800.000.000;3.940.000.000;3.790.000.000;3.910.000.000;3.370.568.115;71440400
16/11/2018;3.930.000.000;4.110.000.000;3.920.000.000;4.050.000.000;3.491.253.418;128595600
19/11/2018;4.050.000.000;4.050.000.000;3.930.000.000;3.950.000.000;3.405.049.561;72785900
20/11/2018;3.950.000.000;3.950.000.000;3.950.000.000;3.950.000.000;3.405.049.561;0
21/11/2018;3.860.000.000;3.960.000.000;3.850.000.000;3.960.000.000;3.413.670.410;97525800
22/11/2018;3.910.000.000;3.990.000.000;3.910.000.000;3.980.000.000;3.430.911.133;52279900
23/11/2018;3.980.000.000;4.000.000.000;3.950.000.000;3.990.000.000;3.439.531.250;35499400
