Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,3.640.000.000,3.680.000.000,3.600.000.000,3.670.000.000,3.135.761.963,63944000
2018-04-03,3.640.000.000,3.670.000.000,3.620.000.000,3.630.000.000,3.101.584.717,57234700
2018-04-04,3.630.000.000,3.660.000.000,3.570.000.000,3.600.000.000,3.075.951.904,80976000
2018-04-05,3.650.000.000,3.690.000.000,3.650.000.000,3.680.000.000,3.144.306.396,102973700
2018-04-06,3.680.000.000,3.690.000.000,3.650.000.000,3.650.000.000,3.118.673.584,62905500
2018-04-09,3.630.000.000,3.780.000.000,3.630.000.000,3.770.000.000,3.221.205.566,114947800
2018-04-10,3.740.000.000,3.880.000.000,3.730.000.000,3.860.000.000,3.298.104.248,138847700
2018-04-11,3.850.000.000,3.890.000.000,3.850.000.000,3.870.000.000,3.306.648.682,58454500
2018-04-12,3.830.000.000,3.860.000.000,3.740.000.000,3.750.000.000,3.204.116.699,76340800
2018-04-13,3.760.000.000,3.780.000.000,3.630.000.000,3.660.000.000,3.127.218.262,88313600
2018-04-16,3.660.000.000,3.660.000.000,3.660.000.000,3.660.000.000,3.127.218.262,0
2018-04-17,3.660.000.000,3.660.000.000,3.660.000.000,3.660.000.000,3.127.218.262,0
2018-04-18,3.720.000.000,3.770.000.000,3.710.000.000,3.770.000.000,3.221.205.566,65927000
2018-04-19,3.770.000.000,3.770.000.000,3.770.000.000,3.770.000.000,3.221.205.566,0
2018-04-20,3.770.000.000,3.770.000.000,3.770.000.000,3.770.000.000,3.221.205.566,0
2018-04-23,3.720.000.000,3.780.000.000,3.720.000.000,3.750.000.000,3.204.116.699,72362700
2018-04-24,3.810.000.000,3.830.000.000,3.770.000.000,3.830.000.000,3.272.471.191,81396500
2018-04-25,3.830.000.000,3.830.000.000,3.830.000.000,3.830.000.000,3.272.471.191,0
2018-04-26,3.830.000.000,3.830.000.000,3.830.000.000,3.830.000.000,3.272.471.191,0
